발생시간,발생지역,검토상태,쓰나미여부,영향도,데이터유형,규모,지역,경도,위도,진원깊이,발생일시,cluster,cluster_4,c
1641789960470,"67 km ESE of Jiufen, Taiwan",reviewed,0,271,earthquake,4.2, Taiwan,122.4484,24.8542,10.0,2022-01-10 04:46:00.470000+00:00,0,0,red
1597627385981,Southwest Indian Ridge,reviewed,0,298,earthquake,4.4,Southwest Indian Ridge,52.4495,-36.3909,10.0,2020-08-17 01:23:05.981000+00:00,0,0,red
1583160772613,"20 km SW of Do?anyol, Turkey",reviewed,0,259,earthquake,4.1, Turkey,38.8481,38.1972,5.0,2020-03-02 14:52:52.613000+00:00,0,0,red
1650735896610,"6 km SSW of Indios, Puerto Rico",reviewed,0,184,earthquake,3.46, Puerto Rico,-66.8393,17.9388,10.0,2022-04-23 17:44:56.610000+00:00,1,1,blue
1639519952188,"126 km WSW of Corral, Chile",reviewed,0,259,earthquake,4.1, Chile,-74.8312,-40.2514,10.0,2021-12-14 22:12:32.188000+00:00,0,0,red
1683937854586,South Sandwich Islands region,reviewed,0,284,earthquake,4.3,South Sandwich Islands region,-28.4309,-60.2872,10.0,2023-05-13 00:30:54.586000+00:00,0,0,red
1671242849000,"132 km WNW of Cochrane, Chile",reviewed,0,284,earthquake,4.3, Chile,-74.2728,-46.9963,11.055,2022-12-17 02:07:29+00:00,0,0,red
1656330400885,South Indian Ocean,reviewed,0,326,earthquake,4.6,South Indian Ocean,80.3982,-3.6852,10.0,2022-06-27 11:46:40.885000+00:00,0,0,red
1633399040297,Kermadec Islands region,reviewed,0,284,earthquake,4.3,Kermadec Islands region,-177.9391,-31.5009,13.78,2021-10-05 01:57:20.297000+00:00,0,0,red
1625159340625,"83 km ENE of Tobelo, Indonesia",reviewed,0,312,earthquake,4.5, Indonesia,128.7303,1.9406,36.38,2021-07-01 17:09:00.625000+00:00,0,3,pink
1677107182383,"113 km WSW of Ikey, Russia",reviewed,0,326,earthquake,4.6, Russia,98.5343,53.7283,10.078,2023-02-22 23:06:22.383000+00:00,0,0,red
1589786287362,"58 km SW of El Cobre, Cuba",reviewed,0,284,earthquake,4.3, Cuba,-76.3787,19.7205,10.0,2020-05-18 07:18:07.362000+00:00,0,0,red
1660237977710,"8km NNE of Walker, CA",reviewed,0,191,earthquake,3.49,California,-119.4498333,38.586,5.23,2022-08-11 17:12:57.710000+00:00,1,1,blue
1585700861034,"21 km WNW of Stanley, Idaho",reviewed,0,706,earthquake,4.8, Idaho,-115.1673,44.3232,10.0,2020-04-01 00:27:41.034000+00:00,2,2,green
1672354093804,"138 km NNW of Dededo Village, Guam",reviewed,0,284,earthquake,4.3, Guam,144.3595,14.6756,10.981,2022-12-29 22:48:13.804000+00:00,0,0,red
1666834398787,South Sandwich Islands region,reviewed,0,416,earthquake,5.2,South Sandwich Islands region,-26.3423,-59.5773,57.96,2022-10-27 01:33:18.787000+00:00,2,3,pink
1610784516282,"80 km E of Yamada, Japan",reviewed,0,326,earthquake,4.6, Japan,142.8803,39.5738,52.62,2021-01-16 08:08:36.282000+00:00,0,3,pink
1618728956942,"25 km NNE of Bandar-e Gen?veh, Iran",reviewed,0,312,earthquake,4.5, Iran,50.5744,29.7996,10.0,2021-04-18 06:55:56.942000+00:00,0,0,red
1667128203990,South Sandwich Islands region,reviewed,0,298,earthquake,4.4,South Sandwich Islands region,-23.7976,-59.2149,10.0,2022-10-30 11:10:03.990000+00:00,0,0,red
1653768987610,"64 km S of Lorino, Russia",reviewed,0,188,earthquake,3.5, Russia,-171.8375,64.9312,30.0,2022-05-28 20:16:27.610000+00:00,1,1,blue
1685391837183,"279 km E of Fais, Micronesia",reviewed,0,271,earthquake,4.2, Micronesia,143.0629,9.8325,11.513,2023-05-29 20:23:57.183000+00:00,0,0,red
1611046915460,"85 km N of Charlotte Amalie, U.S. Virgin Islands",reviewed,0,174,earthquake,3.36, U.S. Virgin Islands,-64.9258,19.1155,65.0,2021-01-19 09:01:55.460000+00:00,1,3,pink
1641089294362,"104 km WNW of Kirakira, Solomon Islands",reviewed,0,298,earthquake,4.4, Solomon Islands,161.0132,-10.1689,10.0,2022-01-02 02:08:14.362000+00:00,0,0,red
1642341480152,"9 km WNW of Lamut, Philippines",reviewed,0,285,earthquake,4.3, Philippines,121.1459,16.6852,47.65,2022-01-16 13:58:00.152000+00:00,0,3,pink
1580383925673,"68 km SE of Karpathos, Greece",reviewed,0,284,earthquake,4.3, Greece,27.793,35.1067,10.0,2020-01-30 11:32:05.673000+00:00,0,0,red
1650414543177,"31 km SSE of Karyes, Greece",reviewed,0,259,earthquake,4.1, Greece,24.3223,39.9764,10.0,2022-04-20 00:29:03.177000+00:00,0,0,red
1635485244927,South Sandwich Islands region,reviewed,0,312,earthquake,4.5,South Sandwich Islands region,-25.459,-58.0036,56.39,2021-10-29 05:27:24.927000+00:00,0,3,pink
1675571949256,"British Columbia, Canada",reviewed,0,269,earthquake,3.9, Canada,-116.3971,49.9112,1.0,2023-02-05 04:39:09.256000+00:00,0,0,red
1680840651693,"7 km NNE of Los Córdobas, Colombia",reviewed,0,326,earthquake,4.6, Colombia,-76.3312,8.9572,48.052,2023-04-07 04:10:51.693000+00:00,0,3,pink
1667569556030,"48 km W of Iquique, Chile",reviewed,0,259,earthquake,4.1, Chile,-70.6113,-20.1982,25.918,2022-11-04 13:45:56.030000+00:00,0,0,red
1684665495110,"71 km NW of San Antonio, Puerto Rico",reviewed,0,171,earthquake,3.33, Puerto Rico,-67.6346666666667,18.8938333333333,9.95,2023-05-21 10:38:15.110000+00:00,1,1,blue
1686339315231,"56 km S of Kēng Tung, Myanmar",reviewed,0,284,earthquake,4.3, Myanmar,99.8603,21.1244,14.922,2023-06-09 19:35:15.231000+00:00,0,0,red
1620836775879,"29 km NE of Bandar-e Gen?veh, Iran",reviewed,0,326,earthquake,4.6, Iran,50.726,29.7689,10.0,2021-05-12 16:26:15.879000+00:00,0,0,red
1614562852089,"98 km SSW of Islay (Matarani), Peru",reviewed,0,312,earthquake,4.5, Peru,-72.6114,-17.737,10.0,2021-03-01 01:40:52.089000+00:00,0,0,red
1597902220080,"19 km NNW of Kalaoa, Hawaii",reviewed,0,226,earthquake,3.4, Hawaii,-156.080833333333,19.8805,42.1,2020-08-20 05:43:40.080000+00:00,1,1,blue
1600957874061,"39 km ENE of Cortes, Philippines",reviewed,0,326,earthquake,4.6, Philippines,126.5356,9.369,10.0,2020-09-24 14:31:14.061000+00:00,0,0,red
1618275272595,"98 km NE of Samarai, Papua New Guinea",reviewed,0,326,earthquake,4.6, Papua New Guinea,151.3309,-10.0112,10.0,2021-04-13 00:54:32.595000+00:00,0,0,red
1659404702660,"New Ireland region, Papua New Guinea",reviewed,0,340,earthquake,4.7, Papua New Guinea,153.8501,-5.3113,35.0,2022-08-02 01:45:02.660000+00:00,0,3,pink
1614685875876,South Georgia Island region,reviewed,0,326,earthquake,4.6,South Georgia Island region,-35.8115,-55.1839,10.0,2021-03-02 11:51:15.876000+00:00,0,0,red
1637566967936,"4 km SSE of Río Grande, Dominican Republic",reviewed,0,330,earthquake,4.5, Dominican Republic,-70.7475,19.6314,10.0,2021-11-22 07:42:47.936000+00:00,0,0,red
1657323366595,"Pagan region, Northern Mariana Islands",reviewed,0,518,earthquake,5.8, Northern Mariana Islands,146.9699,18.8957,10.0,2022-07-08 23:36:06.595000+00:00,2,2,green
1597944870950,"2 km S of Guánica, Puerto Rico",reviewed,0,152,earthquake,3.14, Puerto Rico,-66.9058,17.9496,13.0,2020-08-20 17:34:30.950000+00:00,1,1,blue
1637295620208,"25 km WSW of Iquique, Chile",reviewed,0,148,earthquake,3.1, Chile,-70.3835,-20.2944,39.26,2021-11-19 04:20:20.208000+00:00,1,1,blue
1584927492383,"Volcano Islands, Japan region",reviewed,0,354,earthquake,4.8, Japan region,144.0793,22.8987,10.0,2020-03-23 01:38:12.383000+00:00,0,0,red
1675699602958,"18 km WSW of Ekinözü, Turkey",reviewed,0,284,earthquake,4.3, Turkey,36.9911,37.9972,10.0,2023-02-06 16:06:42.958000+00:00,0,0,red
